,A apol,A AMR,A nH,A nC,A nN,A nO,A nS,A MW,A nBondsD,A nBonds,A nBonds2,A Sv,A Sse,A Spe,A Sare,A Sp,A Si,A Mv,A Mse,A Mpe,A Mare,A Mp,A Mi,A ETA_dEpsilon_A,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A fragC,A HOMO,A LOMO,A Bandgap,B apol,B AMR,B nH,B nC,B nN,B nO,B nS,B MW,B nBondsD,B nBonds,B nBonds2,B Sv,B Sse,B Spe,B Sare,B Sp,B Si,B Mv,B Mse,B Mpe,B Mare,B Mp,B Mi,B ETA_dEpsilon_A,B ETA_dAlpha_B,B ETA_BetaP,B FMF,B fragC,B HOMO,B LOMO,B Bandgap,Time (s),Potential (v)
A nBonds2,0.9985060651897687,0.9923008038908608,0.7600375529698147,0.9678650521962462,0.5522896177560749,0.796287575876202,0.864129017630068,0.9782846006745307,0.9717551608585769,0.9856560432473667,1.0,0.996682574856273,0.9971428481318781,0.9969243128100888,0.9966636261716489,0.9985553288716456,0.9965570004597599,0.7520732927729983,0.8032429874521381,0.8333564136911382,0.827963334267272,0.7205358397253081,-0.40973991718405217,0.8393697653462671,-0.06751318784295082,0.5186328408480062,0.3900590517409478,0.930672044031791,-0.17528555568049822,-0.8785138084301808,-0.7960538544586241,-0.08521096938821918,-0.08714926134793549,-0.04204185182123877,-0.08581846888662818,-0.0667324802387655,-0.08703881346595617,-0.07710242170766793,-0.08702987338781208,-0.08563026222715486,-0.08747267400342022,-0.08351343431165048,-0.08628774705364411,-0.0840531228409604,-0.08447017212153185,-0.08448137912301568,-0.08516585366000572,-0.08221872619083707,-0.09043641034687984,-0.08559306985871136,-0.088618173950799,-0.08781957652866176,-0.08812526831703538,0.07511738612651686,-0.08800125185662652,0.02888526952200503,-0.07664295377219914,-0.05179591574859511,-0.08124940866225155,-0.07922673307598688,0.10441731374719605,0.12972365237602157,3.9457679425503065e-16,-0.2723625462831994
A Sv,0.9990788950758048,0.9952030591324555,0.7091943858298108,0.9663571861393773,0.5238739053202225,0.8292390647702449,0.8925329059328235,0.9901383159576086,0.9843220497434547,0.9949348524878165,0.996682574856273,1.0,0.9958708961839654,0.9964551414024504,0.9962532628492377,0.9991902233623076,0.9905508171038548,0.7794876569465744,0.8399296378890351,0.8686108150798644,0.8631678102600124,0.7440440274829542,-0.43795867589584553,0.8752020399230191,-0.05566509485320363,0.5280537645185639,0.39971286890263563,0.9492155929484088,-0.2225827642715777,-0.8976168728314873,-0.7989869438433316,-0.08259265241858779,-0.08486046896353448,-0.03595546784489888,-0.08281008971624544,-0.06522717772602393,-0.08818280252192787,-0.07746565158284989,-0.08566243422912566,-0.08463746280105497,-0.0858304820087542,-0.08051492598721251,-0.08397278558298096,-0.08127159291263382,-0.08178463925558963,-0.08180559913415236,-0.08256076550093265,-0.0790569971202364,-0.09348667252179875,-0.08947147162608601,-0.09249191703646378,-0.09176529460639572,-0.0905562748449632,0.07715360069051956,-0.0917283505707872,0.02589436648568821,-0.08065804196512218,-0.05509700886295466,-0.0792690314316581,-0.07697197632180895,0.10713195277055018,0.13172427658767785,4.0631482886517183e-16,-0.274087467767259
A Sse,0.9959588627227453,0.9861500332043155,0.753903751389045,0.9490208660290206,0.551486405583757,0.8235637129703729,0.8883726635752897,0.9853446050716104,0.9674338314088651,0.9838688300723176,0.9971428481318781,0.9958708961839654,1.0,0.9999379317330922,0.9999200661042811,0.9965003887360911,0.997835382620643,0.7244491347553772,0.8240494846513545,0.8458504021123878,0.8434505338029386,0.685774624458741,-0.3668655903633655,0.8537965457262069,-0.012584593112409915,0.47579101244155636,0.33371619231650496,0.9311875753468436,-0.20135665141720782,-0.869298562014324,-0.7784762614149517,-0.0837138590847982,-0.08569933378987743,-0.03992806309608037,-0.08347988637340886,-0.06724520509239681,-0.08723842723232143,-0.07809750096143249,-0.08618457059811525,-0.08488416663667853,-0.08605021246649007,-0.08176911059064969,-0.08486977691077213,-0.08264162605423671,-0.08308382899740335,-0.08310370474238335,-0.0836960273314092,-0.0806980367739905,-0.08824317753432298,-0.0863143356192655,-0.08875529331566567,-0.08814813957051199,-0.08586987797749839,0.07071551390541886,-0.08849548162601016,0.026585050087554397,-0.07488677021691155,-0.04697069792647856,-0.08066061382334176,-0.07715271735618145,0.10220079512966197,0.1268452215003303,3.895440445169681e-16,-0.28829447240766753
A Spe,0.9961228034717099,0.9865488461327889,0.7467545356034969,0.9489156064327167,0.5496959004977074,0.8276101155123681,0.8915600493220281,0.9870326207262735,0.9690307141047301,0.9854668704399573,0.9969243128100888,0.9964551414024504,0.9999379317330922,1.0,0.9999933824516761,0.9966722809456021,0.9971722005394874,0.7287825966825865,0.8291599695706211,0.8510395125314383,0.8486499028290884,0.6892941056698225,-0.3703001600859059,0.8588133225428932,-0.009131504157225582,0.47832636901958064,0.3367619487070604,0.9341792296063651,-0.2048166417174508,-0.8727576921199572,-0.7806949744161839,-0.08335276837636127,-0.08535953003859154,-0.03906090886200509,-0.08306580100677147,-0.06697357217467083,-0.08745631471670087,-0.07815870736120513,-0.08600613294104595,-0.08472067521337609,-0.08584851786758983,-0.08136852499842243,-0.08455400575024423,-0.08225983257550526,-0.08271591238466751,-0.08273729861029426,-0.08333673553617575,-0.08025959551856267,-0.0886561009703052,-0.08693631611722392,-0.08935954124149297,-0.08876981642876544,-0.08615630515818073,0.07099205286687128,-0.08905050017335066,0.02584327880282854,-0.07513262632102502,-0.04750181020384302,-0.08047507080660306,-0.07678689946351241,0.1025756911768387,0.1271042024715423,3.7948946008415073e-16,-0.2888450303436375
A Sare,0.9958198388128114,0.9860314704231766,0.7462774549447592,0.9478198006557295,0.5500306759809035,0.8287236637630963,0.8923747873271333,0.987205652040442,0.968533248691424,0.985282363127909,0.9966636261716489,0.9962532628492377,0.9999200661042811,0.9999933824516761,1.0,0.9963934210094976,0.997087777862067,0.7274257921884015,0.8300847845874356,0.8516167817098872,0.8493832212662292,0.6874877691835302,-0.3680167143323293,0.8593978257935696,-0.0057663474128115235,0.4763464142132732,0.3344075659234567,0.9341619753641783,-0.20516693991532053,-0.8723573576845355,-0.7801899953714873,-0.08326648799341427,-0.08526435860125198,-0.038969671620778065,-0.0829346559946332,-0.06695890972744607,-0.08747107204812833,-0.07819436190995989,-0.08595133522352255,-0.08465127024546147,-0.0857681451354337,-0.08127758176909258,-0.08447142977976614,-0.08218235525249594,-0.0826392292633215,-0.08266115227004794,-0.08325191179971594,-0.08017747475102052,-0.08849354824889366,-0.08696523366636273,-0.08934897653825523,-0.08877226643865319,-0.08597815665544682,0.0707262905355397,-0.08904884264856645,0.025605785307098408,-0.07488476704541366,-0.04724202848215687,-0.08045233341093914,-0.07661480408042563,0.10241858108620755,0.1268921981517278,3.6736363255677516e-16,-0.289622511205997
A Sp,0.999974853350317,0.9961857876205162,0.7337616677873758,0.9700932283014085,0.5359660055714129,0.8105434941043027,0.8795993640305394,0.9845199332490278,0.9821082744961697,0.9907705181291963,0.9985553288716456,0.9991902233623076,0.9965003887360911,0.9966722809456021,0.9963934210094976,1.0,0.9935205721598082,0.769557997236686,0.8197961465142616,0.8497311149846851,0.8438079810979523,0.7384176758733503,-0.4304595933183245,0.8569792679614197,-0.07736333070743018,0.5297125659881136,0.3975909194914829,0.9402334745739453,-0.20782082450644035,-0.8880773805963255,-0.7945940611639069,-0.08407126673367087,-0.08639985215773037,-0.03814196812775951,-0.08470522917691153,-0.066416522378296,-0.08754668745272431,-0.0774594703457449,-0.08657712060462751,-0.08580171920791092,-0.08695437871558705,-0.08203259299495809,-0.08532834347517118,-0.08265852995609077,-0.08314323929171742,-0.08315549307201013,-0.08402565153042038,-0.0805786349416878,-0.0938734102244835,-0.08812834323253765,-0.09145240620347196,-0.09059552345018396,-0.09141224203875692,0.07826900984338231,-0.09081076709817086,0.029617368883775464,-0.08210266134170636,-0.05535204409171585,-0.08037472179799948,-0.079566999533765,0.10730714922468507,0.13272483315228262,4.04166482920321e-16,-0.2721783562197482
A Si,0.9930428751398883,0.9821702224658306,0.792080567850477,0.9483123115021661,0.5879797991990174,0.7872127351086752,0.8600119138306549,0.9724048112533149,0.9583857053222796,0.9732616480656711,0.9965570004597599,0.9905508171038548,0.997835382620643,0.9971722005394874,0.997087777862067,0.9935205721598082,1.0,0.7018422859283076,0.7876979230488076,0.8123258486618402,0.8097826352998537,0.667789974850103,-0.3386403650096304,0.8204576647884594,-0.027732273812735877,0.48037886580991634,0.32824310563790615,0.9115845927011375,-0.15478375430576027,-0.8555081126408469,-0.7804681118233255,-0.08486537440168705,-0.08679182504958557,-0.04238151742489314,-0.08519650331561103,-0.0687057787892222,-0.08537115976599341,-0.07720121271461737,-0.08655772734256051,-0.08556245033004828,-0.08675869544740404,-0.08301619007773933,-0.08585232595788347,-0.08367566406914687,-0.0840787676451001,-0.08408709844758322,-0.08482917559599504,-0.08193714300196035,-0.08761406653456447,-0.0837757108242543,-0.08658570669548847,-0.08585813681810199,-0.08569769634948574,0.07068404338118404,-0.0864146508291999,0.029363935097135876,-0.07486585514553233,-0.04649962610782931,-0.08197070942838378,-0.08230160293205652,0.10156661105997718,0.12784759711600857,3.8367653404169166e-16,-0.2901769049818177
A Mv,0.77255233331304,0.8100920895460465,0.2665829696153707,0.8496941569604276,0.21019877681608415,0.6510206146384839,0.6667492132436856,0.7697834884819813,0.8393255270593398,0.8204962387081464,0.7520732927729983,0.7794876569465744,0.7244491347553772,0.7287825966825865,0.7274257921884015,0.769557997236686,0.7018422859283076,1.0,0.7523062365183595,0.8285888321236932,0.8026903950739401,0.9888630880988379,-0.849085964822206,0.817500330579765,-0.31839456607532063,0.8063842542133057,0.8278706783344393,0.7847173249161653,-0.21663075107002125,-0.8922012930768768,-0.7956902551382118,-0.032517426715639106,-0.034489281505349106,-0.0023466677600716135,-0.03545021915351322,-0.0090624772235283,-0.04921744457488865,-0.028059949984648423,-0.03617256699776818,-0.03454777989273807,-0.03793883843253146,-0.03193063074684306,-0.03430240271360714,-0.03177388309629549,-0.03225611914888821,-0.03229506860950733,-0.0324140856106729,-0.029587448796151994,-0.07567966181605774,-0.0633785773561194,-0.0679664753594473,-0.06713222879757541,-0.06891032392778802,0.07730643985619133,-0.06357525808944761,-0.0037020368673430144,-0.06544523309925762,-0.07663073917968023,-0.022361071308928542,-0.05579329377700211,0.08593892409043528,0.10377374100946132,2.810440570859927e-16,-0.08793948841626095
A Mse,0.8181075591386375,0.8161276796405966,0.29656314200213046,0.7381880854346148,0.20814781488189774,0.9690442041461699,0.9540377757270672,0.9009296356147594,0.8408508920185781,0.8732459744949513,0.8032429874521381,0.8399296378890351,0.8240494846513545,0.8291599695706211,0.8300847845874356,0.8197961465142616,0.7876979230488076,0.7523062365183595,1.0,0.9905639675917575,0.9943797887071217,0.6668346011830378,-0.4550817829756936,0.9924051726198431,0.23532882525008797,0.3363648605003193,0.29092766531061576,0.8865482282619126,-0.5049274079220987,-0.8117403988440137,-0.6221595526086607,-0.041843351234223156,-0.04404186589037925,-0.004851270467777313,-0.036318345796407935,-0.026573071063020245,-0.07089192043270921,-0.057467079292974614,-0.05008832392110057,-0.04718221166257049,-0.04639370201550373,-0.03958173686196623,-0.043914919732457605,-0.04235494997970941,-0.04292764571622885,-0.0430403744736167,-0.04200688258653864,-0.039409599081390224,-0.06191834743871441,-0.08076587802715926,-0.07835880534265242,-0.07920982173841361,-0.05609337107926506,0.044179324511975385,-0.07780892798118043,-0.010089916322633716,-0.04590396119955013,-0.02954770744274719,-0.03716271106874553,-0.012051034283626492,0.07034427109117534,0.07425287774423053,3.118189886999244e-16,-0.22883048799022807
A Mpe,0.8487872537037409,0.8529337135165113,0.3154861852933944,0.7927437111600582,0.2606346240032535,0.939172483419514,0.932411492705721,0.9169173394136942,0.8798463302435835,0.903956938733252,0.8333564136911382,0.8686108150798644,0.8458504021123878,0.8510395125314383,0.8516167817098872,0.8497311149846851,0.8123258486618402,0.8285888321236932,0.9905639675917575,1.0,0.9989478273230767,0.7516524672843169,-0.5259987703512602,0.9984783256945747,0.16051204791453588,0.45604285533086947,0.41007111309981625,0.9045180100940255,-0.4309009513158126,-0.8725936241222074,-0.705789192584095,-0.04098618828355804,-0.043159837004239726,-0.0028946114973681233,-0.03690484202944089,-0.024849200753203276,-0.06895650274683708,-0.05375330570387919,-0.048887300815989895,-0.04632446027486654,-0.04619046969802213,-0.03888562819883079,-0.04314521576281882,-0.04115565233178018,-0.04176044388943237,-0.04186312100886989,-0.04110394528372197,-0.03817412240593061,-0.06738383793011084,-0.08133829070357772,-0.08024295641866065,-0.0808636083420341,-0.060804994107816604,0.051735299921725264,-0.07878741658576575,-0.012286511713590546,-0.05072389072861186,-0.04037872292861293,-0.03633301220679225,-0.02420189223216233,0.07675530722792433,0.08453464297327058,2.7676693431024154e-16,-0.222461016039687
